Marker	Graph	Xaxis	sort
Bo1g002770.1	C01	364533	83
Bo1g002780.1	C01	369625	84
Bo1g002790.1	C01	389508	85
BnaC01g00650D	C01	391163	86
Bo1g002800.1	C01	391163	87
Bo1g002810.1	C01	398205	88
Bo1g002820.1	C01	410105	89
Bo1g002830.1	C01	416156	90
Bo1g002840.1	C01	422859	91
Bo1g002850.1	C01	428057	92
Bo1g002860.1	C01	433534	93
Bo1g002870.1	C01	436689	94
BnaC01g00690D	C01	439287	95
Bo1g002880.1	C01	442209	96
Bo1g002890.1	C01	449360	97
Bo1g002900.1	C01	452569	98
Bo1g002910.1	C01	455775	99
Bo1g002920.1	C01	458346	100
Bo1g002930.1	C01	460829	101
Bo1g002940.1	C01	462750	102
Bo1g002950.1	C01	466591	103
Bo1g002960.1	C01	469754	104
Bo1g002970.1	C01	480326	105
Bo1g002980.1	C01	483958	106
Bo1g002990.1	C01	487037	107
Bo1g003000.1	C01	490658	108
Bo1g003010.1	C01	493143	109
Bo1g003020.1	C01	496823	110
BnaC01g00850D	C01	500923	111
Bo1g003030.1	C01	507989	112
Bo1g003040.1	C01	510024	113
Bo1g003050.1	C01	517217	114
Bo1g003060.1	C01	521661	115
Bo1g003070.1	C01	526071	116
Bo1g003080.1	C01	528751	117
Bo1g003090.1	C01	530279	118
Bo1g003100.1	C01	530856	119
BnaC01g00940D	C01	532630	120
Bo1g003110.1	C01	532704	121
Bo1g003120.1	C01	537698	122
Bo1g003130.1	C01	549649	123
Bo1g003140.1	C01	552706	124
Bo1g003150.1	C01	561431	125
Bo1g003160.1	C01	563236	126
Bo1g003170.1	C01	568201	127
Bo1g003180.1	C01	570085	128
Bo1g003190.1	C01	574961	129
Bo1g003200.1	C01	582952	130
Bo1g003210.1	C01	586784	131
Bo1g003220.1	C01	589917	132
Bo1g003230.1	C01	594703	133
Bo1g003240.1	C01	598015	134
Bo1g003250.1	C01	602483	135
Bo1g003260.1	C01	631599	136
Bo1g003270.1	C01	637632	137
Bo1g003280.1	C01	640020	138
Bo1g003290.1	C01	641260	139
Bo1g003300.1	C01	645871	140
Bo1g003310.1	C01	647994	141
Bo1g003320.1	C01	650968	142
BnaC01g01130D	C01	656190	143
Bo1g003330.1	C01	660036	144
Bo1g003340.1	C01	664044	145
BnaC01g01160D	C01	665567	146
Bo1g003350.1	C01	671364	147
Bo1g003360.1	C01	675387	148
Bo1g003370.1	C01	682832	149
Bo1g003380.1	C01	685820	150
Bo1g003390.1	C01	692192	151
BnaC01g01220D	C01	697099	152
Bo1g003400.1	C01	714014	153
Bo1g003410.1	C01	727102	154
BnaC01g01260D	C01	733205	155
Bo1g003420.1	C01	733205	156
Bo1g003430.1	C01	740167	157
Bo1g003440.1	C01	750266	158
Bo1g003450.1	C01	754548	159
BnaC01g01300D	C01	756978	160
Bo1g003460.1	C01	773325	161
Bo1g003470.1	C01	776453	162
Bo1g003480.1	C01	781589	163
Bo1g003490.1	C01	784924	164
BnaC01g01350D	C01	787987	165
Bo1g003500.1	C01	796218	166
Bo1g003510.1	C01	804116	167
Bo1g003520.1	C01	809808	168
Bo1g003530.1	C01	822968	169
Bo1g003540.1	C01	825734	170
Bo1g003550.1	C01	831804	171
Bo1g003560.1	C01	841976	172
Bo1g003570.1	C01	844503	173
Bo1g003580.1	C01	849858	174
Bo1g003590.1	C01	854815	175
Bo1g003600.1	C01	857465	176
Bo1g003610.1	C01	870731	177
Bo1g003620.1	C01	873685	178
Bo1g003630.1	C01	878635	179
Bo1g003640.1	C01	887848	180
Bo1g003650.1	C01	888855	181
Bo1g003660.1	C01	891624	182
Bo1g003670.1	C01	902827	183
Bo1g003680.1	C01	904518	184
Bo1g003690.1	C01	914519	185
Bo1g003700.1	C01	916025	186
Bo1g003710.1	C01	917568	187
Bo1g003720.1	C01	924617	188
Bo1g003730.1	C01	932848	189
BnaC01g01520D	C01	934566	190
Bo1g004730.1	C01	938077	191
Bo1g004740.1	C01	951852	192
BnaC01g01550D	C01	954339	193
Bo1g004750.1	C01	956296	194
Bo1g004760.1	C01	963781	195
Bo1g004770.1	C01	976293	196
Bo1g004780.1	C01	980447	197
Bo1g004790.1	C01	984138	198
Bo1g004800.1	C01	987434	199
Bo1g004810.1	C01	993249	200
Bo1g004820.1	C01	998080	201
Bo1g004830.1	C01	1007257	202
Bo1g004840.1	C01	1008632	203
Bo1g004850.1	C01	1009727	204
Bo1g004860.1	C01	1014345	205
Bo1g004870.1	C01	1015954	206
Bo1g004880.1	C01	1020263	207
BnaC01g01630D	C01	1021057	208
BnaC01g01640D	C01	1023062	209
Bo1g004890.1	C01	1023910	210
Bo1g004900.1	C01	1028299	211
Bo1g004910.1	C01	1055793	212
Bo1g004920.1	C01	1058784	213
Bo1g004930.1	C01	1063744	214
Bo1g004940.1	C01	1075204	215
Bo1g004950.1	C01	1082348	216
Bo1g004960.1	C01	1088643	217
Bo1g004970.1	C01	1103797	218
Bo1g004980.1	C01	1106930	219
Bo1g004990.1	C01	1110701	220
Bo1g005000.1	C01	1117998	221
Bo1g005010.1	C01	1120588	222
BnaC01g01750D	C01	1121350	223
Bo1g005020.1	C01	1122659	224
Bo1g005030.1	C01	1127354	225
Bo1g005040.1	C01	1137641	226
Bo1g005050.1	C01	1143296	227
Bo1g005060.1	C01	1145885	228
Bo1g005070.1	C01	1147488	229
BnaC01g01810D	C01	1153723	230
Bo1g005080.1	C01	1155686	231
Bo1g005090.1	C01	1161032	232
Bo1g005100.1	C01	1166157	233
Bo1g005110.1	C01	1176224	234
Bo1g005120.1	C01	1181685	235
Bo1g005130.1	C01	1190293	236
Bo1g005140.1	C01	1193026	237
Bo1g005150.1	C01	1197989	238
Bo1g005160.1	C01	1203236	239
Bo1g005170.1	C01	1206291	240
Bo1g005180.1	C01	1213325	241
Bo1g005190.1	C01	1214058	242
Bo1g005200.1	C01	1218574	243
Bo1g005210.1	C01	1220782	244
Bo1g005220.1	C01	1222271	245
Bo1g005230.1	C01	1227566	246
Bo1g005240.1	C01	1236655	247
Bo1g005250.1	C01	1240855	248
Bo1g005260.1	C01	1245434	249
Bo1g005270.1	C01	1249512	250
Bo1g005280.1	C01	1256936	251
BnaC01g01950D	C01	1260516	252
Bo1g005290.1	C01	1261029	253
Bo1g005300.1	C01	1262820	254
BnaC01g01980D	C01	1263420	255
Bo1g005310.1	C01	1265542	256
Bo1g005320.1	C01	1273763	257
BnaC01g02000D	C01	1277700	258
Bo1g005330.1	C01	1280332	259
Bo1g005340.1	C01	1297435	260
Bo1g005350.1	C01	1304145	261
Bo1g005360.1	C01	1310133	262
BnaC01g02030D	C01	1313696	263
Bo1g005370.1	C01	1313775	264
Bo1g005380.1	C01	1317529	265
Bo1g005390.1	C01	1323109	266
Bo1g005400.1	C01	1327640	267
Bo1g005410.1	C01	1330940	268
Bo1g005420.1	C01	1334910	269
Bo1g005430.1	C01	1338284	270
BnaC01g02110D	C01	1339827	271
Bo1g005440.1	C01	1356503	272
Bo1g005450.1	C01	1360882	273
Bo1g005460.1	C01	1366019	274
Bo1g005470.1	C01	1369121	275
Bo1g005480.1	C01	1377029	276
Bo1g005490.1	C01	1383609	277
Bo1g005500.1	C01	1387938	278
Bo1g005510.1	C01	1389787	279
Bo1g005520.1	C01	1401222	280
Bo1g005530.1	C01	1411815	281
Bo1g005540.1	C01	1417455	282
Bo1g005550.1	C01	1421391	283
Bo1g005560.1	C01	1423282	284
Bo1g005570.1	C01	1429287	285
Bo1g005580.1	C01	1437970	286
Bo1g005590.1	C01	1442949	287
Bo1g005600.1	C01	1449550	288
Bo1g005610.1	C01	1454041	289
Bo1g005620.1	C01	1455705	290
Bo1g005630.1	C01	1456610	291
Bo1g005640.1	C01	1461568	292
Bo1g005650.1	C01	1463834	293
Bo1g005660.1	C01	1469588	294
Bo1g005670.1	C01	1473610	295
Bo1g005680.1	C01	1477429	296
Bo1g005690.1	C01	1480564	297
Bo1g005700.1	C01	1487991	298
Bo1g005710.1	C01	1499661	299
Bo1g005720.1	C01	1505829	300
Bo1g005730.1	C01	1524771	301
Bo1g005740.1	C01	1528424	302
Bo1g005750.1	C01	1543266	303
Bo1g005760.1	C01	1544585	304
Bo1g005770.1	C01	1553051	305
Bo1g005780.1	C01	1560876	306
Bo1g005790.1	C01	1565427	307
Bo1g005800.1	C01	1568161	308
Bo1g005810.1	C01	1583096	309
Bo1g005820.1	C01	1589931	310
Bo1g005830.1	C01	1592581	311
Bo1g005840.1	C01	1594170	312
Bo1g005850.1	C01	1595199	313
Bo1g005860.1	C01	1601209	314
Bo1g005870.1	C01	1633247	315
Bo1g005880.1	C01	1637683	316
Bo1g005890.1	C01	1639751	317
Bo1g005900.1	C01	1646015	318
Bo1g005910.1	C01	1647501	319
Bo1g005920.1	C01	1650315	320
Bo1g005930.1	C01	1656377	321
Bo1g005940.1	C01	1664452	322
Bo1g005950.1	C01	1666656	323
Bo1g005960.1	C01	1674006	324
Bo1g005970.1	C01	1690866	325
Bo1g005980.1	C01	1692428	326
Bo1g005990.1	C01	1699655	327
Bo1g006000.1	C01	1702556	328
Bo1g006010.1	C01	1705038	329
Bo1g006020.1	C01	1708176	330
Bo1g006030.1	C01	1709327	331
Bo1g006040.1	C01	1715335	332
Bo1g006050.1	C01	1717608	333
BnaC01g02630D	C01	1722451	334
Bo1g006060.1	C01	1723356	335
Bo1g006070.1	C01	1727336	336
Bo1g006080.1	C01	1729211	337
Bo1g006090.1	C01	1737024	338
Bo1g006100.1	C01	1764782	339
BnaC01g02710D	C01	1769428	340
Bo1g006110.1	C01	1783204	341
Bo1g006120.1	C01	1788317	342
Bo1g006130.1	C01	1794003	343
Bo1g006140.1	C01	1802208	344
Bo1g006150.1	C01	1806497	345
Bo1g006160.1	C01	1821823	346
Bo1g006170.1	C01	1826558	347
BnaC01g02820D	C01	1828120	348
BnaC01g02830D	C01	1828120	349
Bo1g006180.1	C01	1831375	350
Bo1g006190.1	C01	1834020	351
BnaC01g02850D	C01	1835649	352
BnaC01g02860D	C01	1835649	353
Bo1g006200.1	C01	1836052	354
Bo1g006210.1	C01	1839645	355
Bo1g006220.1	C01	1848400	356
Bo1g006230.1	C01	1854922	357
BnaC01g02900D	C01	1855462	358
Bo1g006240.1	C01	1860184	359
Bo1g006250.1	C01	1861409	360
Bo1g006260.1	C01	1864048	361
Bo1g006270.1	C01	1865878	362
Bo1g006280.1	C01	1869169	363
Bo1g006290.1	C01	1872628	364
Bo1g006300.1	C01	1874274	365
Bo1g006310.1	C01	1877723	366
Bo1g006320.1	C01	1899078	367
Bo1g006330.1	C01	1900513	368
Bo1g006340.1	C01	1904436	369
BnaC01g03020D	C01	1908455	370
Bo1g006350.1	C01	1911554	371
Bo1g006360.1	C01	1912860	372
Bo1g006370.1	C01	1916696	373
Bo1g006380.1	C01	1918487	374
Bo1g006390.1	C01	1921037	375
Bo1g006400.1	C01	1926212	376
Bo1g006410.1	C01	1929865	377
Bo1g006420.1	C01	1936596	378
Bo1g006430.1	C01	1940960	379
Bo1g006440.1	C01	1945925	380
Bo1g006450.1	C01	1948158	381
Bo1g006460.1	C01	1952036	382
Bo1g006470.1	C01	1952891	383
Bo1g006480.1	C01	1953459	384
Bo1g006490.1	C01	1957200	385
Bo1g006500.1	C01	1961613	386
Bo1g006510.1	C01	1971008	387
Bo1g006520.1	C01	1981307	388
BnaC01g03200D	C01	1985192	389
Bo1g006530.1	C01	1987297	390
Bo1g006540.1	C01	1992206	391
Bo1g006550.1	C01	1994061	392
Bo1g006560.1	C01	2004530	393
Bo1g006570.1	C01	2008231	394
Bo1g006580.1	C01	2014080	395
Bo1g006590.1	C01	2015020	396
Bo1g006600.1	C01	2023158	397
Bo1g006610.1	C01	2028848	398
Bo1g006620.1	C01	2032508	399
Bo1g006630.1	C01	2043632	400
Bo1g006640.1	C01	2048708	401
BnaC01g03330D	C01	2053257	402
Bo1g006650.1	C01	2053583	403
Bo1g006660.1	C01	2055332	404
Bo1g006670.1	C01	2063817	405
Bo1g006680.1	C01	2066494	406
Bo1g006690.1	C01	2069252	407
Bo1g006700.1	C01	2071978	408
Bo1g006710.1	C01	2075575	409
Bo1g006720.1	C01	2079511	410
Bo1g006730.1	C01	2082658	411
Bo1g006740.1	C01	2092227	412
Bo1g006750.1	C01	2095435	413
Bo1g006760.1	C01	2101326	414
Bo1g006770.1	C01	2114851	415
Bo1g006780.1	C01	2118720	416
Bo1g006790.1	C01	2127285	417
BnaC01g03480D	C01	2128807	418
Bo1g006800.1	C01	2130934	419
Bo1g006810.1	C01	2136598	420
Bo1g006820.1	C01	2144212	421
Bo1g006830.1	C01	2148325	422
Bo1g006840.1	C01	2152967	423
Bo1g006850.1	C01	2161959	424
Bo1g006860.1	C01	2165204	425
Bo1g006870.1	C01	2168607	426
Bo1g006880.1	C01	2172492	427
Bo1g006890.1	C01	2183314	428
BnaC01g03600D	C01	2184543	429
Bo1g006900.1	C01	2186902	430
Bo1g006910.1	C01	2191255	431
Bo1g006920.1	C01	2197368	432
Bo1g006930.1	C01	2199683	433
Bo1g006940.1	C01	2201870	434
Bo1g006950.1	C01	2218357	435
Bo1g006960.1	C01	2229607	436
Bo1g006970.1	C01	2251759	437
Bo1g006980.1	C01	2258925	438
Bo1g006990.1	C01	2260979	439
Bo1g007000.1	C01	2274149	440
Bo1g007010.1	C01	2283934	441
Bo1g007020.1	C01	2289274	442
Bo1g007030.1	C01	2292102	443
Bo1g007040.1	C01	2294439	444
Bo1g007050.1	C01	2295932	445
Bo1g007060.1	C01	2298895	446
Bo1g007070.1	C01	2301204	447
Bo1g007080.1	C01	2306812	448
Bo1g007090.1	C01	2308601	449
Bo1g007100.1	C01	2311845	450
Bo1g007110.1	C01	2320025	451
Bo1g007120.1	C01	2321699	452
Bo1g007130.1	C01	2324755	453
Bo1g007140.1	C01	2338886	454
Bo1g007150.1	C01	2351545	455
Bo1g007160.1	C01	2356437	456
Bo1g007170.1	C01	2362173	457
Bo1g007180.1	C01	2369721	458
Bo1g007190.1	C01	2371439	459
Bo1g007200.1	C01	2372933	460
BnaC01g03870D	C01	2374744	461
Bo1g007210.1	C01	2380501	462
Bo1g007220.1	C01	2385234	463
Bo1g007230.1	C01	2386925	464
Bo1g007240.1	C01	2391923	465
Bo1g007250.1	C01	2399671	466
Bo1g007260.1	C01	2402523	467
Bo1g007270.1	C01	2407868	468
Bo1g007280.1	C01	2421130	469
Bo1g007290.1	C01	2423601	470
Bo1g007300.1	C01	2432669	471
Bo1g007310.1	C01	2435549	472
Bo1g007320.1	C01	2439147	473
Bo1g007330.1	C01	2440636	474
Bo1g007340.1	C01	2451690	475
Bo1g007350.1	C01	2458039	476
BnaC01g04030D	C01	2464507	477
Bo1g007360.1	C01	2466500	478
Bo1g007370.1	C01	2470700	479
Bo1g007380.1	C01	2473669	480
Bo1g007390.1	C01	2480108	481
Bo1g007400.1	C01	2481607	482
Bo1g007410.1	C01	2487016	483
Bo1g007420.1	C01	2488474	484
Bo1g007430.1	C01	2492703	485
Bo1g007440.1	C01	2494701	486
BnaC01g04100D	C01	2498135	487
Bo1g007450.1	C01	2503868	488
Bo1g007460.1	C01	2506814	489
Bo1g007470.1	C01	2514471	490
Bo1g007480.1	C01	2524980	491
Bo1g007490.1	C01	2528569	492
Bo1g007500.1	C01	2530920	493
Bo1g007510.1	C01	2532192	494
Bo1g007520.1	C01	2536554	495
Bo1g007530.1	C01	2541958	496
Bo1g007540.1	C01	2544905	497
Bo1g007550.1	C01	2554869	498
Bo1g007560.1	C01	2558080	499
Bo1g007570.1	C01	2560433	500
Bo1g007580.1	C01	2565308	501
Bo1g007590.1	C01	2585853	502
Bo1g007600.1	C01	2588094	503
Bo1g007610.1	C01	2593721	504
Bo1g007620.1	C01	2597919	505
Bo1g007630.1	C01	2601995	506
Bo1g007640.1	C01	2603973	507
Bo1g007650.1	C01	2606298	508
Bo1g007660.1	C01	2615848	509
Bo1g007670.1	C01	2620984	510
Bo1g007680.1	C01	2628316	511
Bo1g007690.1	C01	2631304	512
Bo1g007700.1	C01	2635088	513
Bo1g007710.1	C01	2641144	514
Bo1g007720.1	C01	2643551	515
Bo1g007730.1	C01	2651091	516
Bo1g007740.1	C01	2656891	517
Bo1g007750.1	C01	2660591	518
Bo1g007760.1	C01	2663682	519
Bo1g007770.1	C01	2665464	520
Bo1g007780.1	C01	2675689	521
Bo1g007790.1	C01	2680676	522
Bo1g007800.1	C01	2692781	523
Bo1g007810.1	C01	2696683	524
Bo1g007820.1	C01	2700802	525
Bo1g007830.1	C01	2714100	526
Bo1g007840.1	C01	2721712	527
Bo1g007850.1	C01	2727158	528
Bo1g007860.1	C01	2734888	529
Bo1g007870.1	C01	2737986	530
Bo1g007880.1	C01	2742177	531
Bo1g007890.1	C01	2745585	532
BnaC01g04520D	C01	2746103	533
Bo1g007900.1	C01	2752058	534
Bo1g007910.1	C01	2754297	535
Bo1g007920.1	C01	2756781	536
Bo1g007930.1	C01	2762455	537
Bo1g007940.1	C01	2765435	538
Bo1g007950.1	C01	2766960	539
Bo1g007960.1	C01	2768370	540
Bo1g007970.1	C01	2773947	541
Bo1g007980.1	C01	2775064	542
Bo1g007990.1	C01	2776637	543
Bo1g008000.1	C01	2786075	544
Bo1g008010.1	C01	2789372	545
Bo1g008020.1	C01	2791479	546
Bo1g008030.1	C01	2795754	547
Bo1g008040.1	C01	2798981	548
Bo1g008050.1	C01	2803148	549
Bo1g008060.1	C01	2808893	550
Bo1g008070.1	C01	2814609	551
Bo1g008080.1	C01	2816892	552
Bo1g008090.1	C01	2818736	553
Bo1g008100.1	C01	2820411	554
Bo1g008110.1	C01	2823830	555
Bo1g008120.1	C01	2829647	556
Bo1g008130.1	C01	2830746	557
Bo1g008140.1	C01	2835058	558
Bo1g008150.1	C01	2837716	559
Bo1g008160.1	C01	2842197	560
Bo1g008170.1	C01	2845767	561
Bo1g008180.1	C01	2849283	562
Bo1g008190.1	C01	2856160	563
Bo1g008200.1	C01	2858808	564
Bo1g008210.1	C01	2862375	565
Bo1g008220.1	C01	2864634	566
Bo1g008230.1	C01	2868680	567
Bo1g008240.1	C01	2875286	568
Bo1g008250.1	C01	2881279	569
BnaC01g04890D	C01	2882181	570
Bo1g008260.1	C01	2884556	571
Bo1g008270.1	C01	2890074	572
BnaC01g04920D	C01	2892180	573
Bo1g008280.1	C01	2893249	574
Bo1g008290.1	C01	2896065	575
Bo1g008300.1	C01	2899296	576
Bo1g008310.1	C01	2913162	577
Bo1g008320.1	C01	2919295	578
Bo1g008330.1	C01	2933037	579
Bo1g008340.1	C01	2935368	580
Bo1g008350.1	C01	2938445	581
Bo1g008360.1	C01	2943561	582
Bo1g008370.1	C01	2949527	583
Bo1g008380.1	C01	2950967	584
Bo1g008390.1	C01	2960342	585
Bo1g008400.1	C01	2961674	586
Bo1g008410.1	C01	2962492	587
Bo1g008420.1	C01	2965590	588
Bo1g008430.1	C01	2968352	589
Bo1g008440.1	C01	2973513	590
BnaC01g05140D	C01	2974024	591
Bo1g008450.1	C01	2977262	592
Bo1g008460.1	C01	2982255	593
Bo1g008470.1	C01	2988776	594
Bo1g008480.1	C01	2992723	595
Bo1g008490.1	C01	2998361	596
Bo1g008500.1	C01	3002147	597
BnaC01g05210D	C01	3005713	598
Bo1g008510.1	C01	3005759	599
Bo1g008520.1	C01	3019307	600
Bo1g008530.1	C01	3025443	601
Bo1g008540.1	C01	3029585	602
Bo1g008550.1	C01	3032501	603
Bo1g008560.1	C01	3040838	604
BnaC01g05270D	C01	3044153	605
Bo1g008570.1	C01	3044743	606
Bo1g008580.1	C01	3049394	607
Bo1g008590.1	C01	3053103	608
Bo1g008600.1	C01	3055740	609
Bo1g008610.1	C01	3058637	610
Bo1g008620.1	C01	3072933	611
Bo1g008630.1	C01	3080577	612
Bo1g008640.1	C01	3088302	613
Bo1g008650.1	C01	3092402	614
Bo1g008660.1	C01	3095849	615
BnaC01g05370D	C01	3100576	616
BnaC01g05380D	C01	3100576	617
BnaC01g05390D	C01	3100576	618
BnaC01g05400D	C01	3100576	619
Bo1g008670.1	C01	3100637	620
Bo1g008680.1	C01	3102924	621
Bo1g008690.1	C01	3109195	622
Bo1g008700.1	C01	3113310	623
BnaC01g05440D	C01	3115421	624
Bo1g008710.1	C01	3115475	625
Bo1g008720.1	C01	3136181	626
Bo1g008730.1	C01	3140183	627
BnaC01g05500D	C01	3141322	628
Bo1g008740.1	C01	3142937	629
Bo1g008750.1	C01	3144057	630
Bo1g008760.1	C01	3147076	631
Bo1g008770.1	C01	3148481	632
Bo1g008780.1	C01	3153271	633
Bo1g008790.1	C01	3155885	634
Bo1g008800.1	C01	3159721	635
Bo1g008810.1	C01	3161053	636
Bo1g008820.1	C01	3162544	637
Bo1g009820.1	C01	3175997	638
Bo1g009830.1	C01	3184662	639
Bo1g009840.1	C01	3188770	640
Bo1g009850.1	C01	3203933	641
Bo1g009860.1	C01	3210023	642
Bo1g009870.1	C01	3216566	643
BnaC01g05550D	C01	3218702	644
Bo1g009880.1	C01	3224346	645
Bo1g009890.1	C01	3234512	646
Bo1g009900.1	C01	3238037	647
Bo1g009910.1	C01	3241647	648
Bo1g009920.1	C01	3251546	649
Bo1g009930.1	C01	3259503	650
Bo1g009940.1	C01	3268152	651
Bo1g009950.1	C01	3281378	652
Bo1g009960.1	C01	3282069	653
Bo1g009970.1	C01	3283530	654
Bo1g009980.1	C01	3292727	655
Bo1g009990.1	C01	3297389	656
Bo1g010000.1	C01	3303712	657
Bo1g010010.1	C01	3311591	658
Bo1g010020.1	C01	3317453	659
Bo1g010030.1	C01	3325492	660
Bo1g010040.1	C01	3330128	661
Bo1g010050.1	C01	3335929	662
Bo1g010060.1	C01	3342010	663
Bo1g010070.1	C01	3353850	664
Bo1g010080.1	C01	3359061	665
Bo1g010090.1	C01	3363794	666
Bo1g010100.1	C01	3367918	667
BnaC01g05730D	C01	3378995	668
Bo1g010110.1	C01	3381088	669
BnaC01g05750D	C01	3382512	670
Bo1g010120.1	C01	3383569	671
Bo1g010130.1	C01	3389060	672
Bo1g010140.1	C01	3390747	673
Bo1g010150.1	C01	3391104	674
Bo1g010160.1	C01	3394686	675
Bo1g010170.1	C01	3400017	676
Bo1g010180.1	C01	3405401	677
Bo1g010190.1	C01	3415393	678
Bo1g010200.1	C01	3419564	679
BnaC01g05830D	C01	3430476	680
Bo1g010210.1	C01	3435354	681
Bo1g010220.1	C01	3443525	682
Bo1g010230.1	C01	3446436	683
Bo1g010240.1	C01	3448204	684
Bo1g010250.1	C01	3450921	685
Bo1g010260.1	C01	3453439	686
Bo1g010270.1	C01	3456305	687
BnaC01g05910D	C01	3457471	688
Bo1g010280.1	C01	3458934	689
Bo1g010290.1	C01	3469133	690
BnaC01g05940D	C01	3474431	691
Bo1g010300.1	C01	3484710	692
Bo1g010310.1	C01	3496965	693
Bo1g010320.1	C01	3500736	694
Bo1g010330.1	C01	3502362	695
Bo1g010340.1	C01	3504559	696
Bo1g010350.1	C01	3507230	697
Bo1g010360.1	C01	3510454	698
Bo1g010370.1	C01	3513994	699
Bo1g010380.1	C01	3519031	700
Bo1g010390.1	C01	3531214	701
Bo1g010400.1	C01	3534271	702
Bo1g010410.1	C01	3537071	703
Bo1g010420.1	C01	3542991	704
Bo1g010430.1	C01	3544775	705
Bo1g010440.1	C01	3547714	706
Bo1g010450.1	C01	3553370	707
Bo1g010460.1	C01	3558376	708
BnaC01g06110D	C01	3561333	709
Bo1g010470.1	C01	3561333	710
Bo1g010480.1	C01	3562686	711
Bo1g010490.1	C01	3565899	712
Bo1g010500.1	C01	3568213	713
Bo1g010510.1	C01	3571552	714
Bo1g010520.1	C01	3583058	715
Bo1g010530.1	C01	3585372	716
Bo1g010540.1	C01	3591454	717
Bo1g010550.1	C01	3603710	718
Bo1g010560.1	C01	3607205	719
Bo1g010570.1	C01	3609686	720
BnaC01g06230D	C01	3611930	721
Bo1g010580.1	C01	3613884	722
Bo1g010590.1	C01	3620135	723
Bo1g010600.1	C01	3625547	724
Bo1g010610.1	C01	3626913	725
Bo1g010620.1	C01	3630470	726
Bo1g010630.1	C01	3632063	727
Bo1g010640.1	C01	3635778	728
Bo1g010650.1	C01	3645658	729
Bo1g010660.1	C01	3646833	730
BnaC01g06330D	C01	3648010	731
Bo1g010670.1	C01	3649285	732
Bo1g010680.1	C01	3652194	733
Bo1g010690.1	C01	3656940	734
Bo1g010700.1	C01	3660261	735
Bo1g010710.1	C01	3662064	736
Bo1g010720.1	C01	3664052	737
Bo1g010730.1	C01	3672957	738
Bo1g010740.1	C01	3675694	739
Bo1g010750.1	C01	3681206	740
Bo1g010760.1	C01	3683942	741
Bo1g010770.1	C01	3689743	742
Bo1g010780.1	C01	3699834	743
Bo1g010790.1	C01	3703616	744
Bo1g010800.1	C01	3709831	745
